sku,name,category_name,brand_name,mrp_price,tax_rate
SKU000000,product 0,Electronics,BrandC,1466.9577173319583,0.06725534732400573
SKU000001,  PRODUCT 1 ,Electronics,BrandC,3892.2533675291984,0.05992417732165259
SKU000002,PRODUCT 2,Home,BrandA,214.37731101574306,0.03170770425051481
SKU000003,  PRODUCT 3 ,Electronics,BrandC,1069.4149536282443,0.10930800061826783
SKU000004,PRODUCT 4,Home,BrandA,2471.3018130395253,0.0857923488915532
SKU000005,  product 5 ,Electronics,BrandA,3536.6880806773775,0.15582617861832065
SKU000006,PRODUCT 6,Grocery,BrandA,5160.146627704236,0.005779724486770485
SKU000007,product 7,Electronics,BrandB,573.5640810977692,0.11589622695992274
SKU000008,product 8,Fashion,BrandA,3728.754715369132,0.137330798132081
SKU000009,product 9,Home,BrandA,2902.3482260978885,0.13670758245389525
SKU000010,PRODUCT 10,Fashion,BrandC,1018.410263925129,0.15949331407719453
SKU000011,  PRODUCT 11 ,Grocery,BrandB,5274.983255293516,0.13122607370930892
SKU000012,product 12,Electronics,BrandB,1502.308985682288,0.16700581109658533
SKU000013,product 13,Fashion,BrandA,2001.9932667843743,0.05987818796776046
SKU000014,  product 14 ,Fashion,BrandC,4778.522438142226,0.09057769501527775
SKU000015,product 15,Grocery,BrandC,3736.661622350497,0.0025343393909203213
SKU000016,  product 16 ,Home,BrandB,4968.673457624859,0.0012523657145924183
SKU000017,product 17,Grocery,BrandC,1708.5086184255972,0.043222791681273576
SKU000018,product 18,Electronics,BrandA,4348.418373579916,0.018145295485035347
SKU000019,PRODUCT 19,Home,BrandB,410.0281961572811,0.04683804622843565
SKU000020,PRODUCT 20,Fashion,BrandA,3514.1339121456826,0.03186779301511153
SKU000021,product 21,Home,BrandA,1420.4244059558805,0.0051336044709566825
SKU000022,  PRODUCT 22 ,Fashion,BrandC,3224.269968074202,0.16367474635308887
SKU000023,PRODUCT 23,Home,BrandB,1217.3203619581939,0.0014801636500004745
SKU000024,PRODUCT 24,Home,BrandA,4143.756790387627,0.13249478598067538
SKU000025,PRODUCT 25,Grocery,BrandC,886.3281590577568,0.027386619645512974
SKU000026,PRODUCT 26,Electronics,BrandB,1989.2220566909393,0.164201331959928
SKU000027,product 27,Fashion,BrandC,4333.632844918222,0.16070326912617944
SKU000028,  product 28 ,Electronics,BrandC,4751.333806661801,0.11770220634646632
SKU000029,PRODUCT 29,Fashion,BrandA,1521.0597784492657,0.12100214696410892
SKU000030,  product 30 ,Electronics,BrandC,4518.251124178287,0.0009610455545439378
SKU000031,  product 31 ,Grocery,BrandC,4810.716619646878,0.17727688190044835
SKU000032,PRODUCT 32,Fashion,BrandC,2707.586020531835,0.15800986864364658
SKU000033,  product 33 ,Fashion,BrandA,2883.284425498122,0.16111912063141656
SKU000034,product 34,Electronics,BrandC,1682.0781081936702,0.11866401666915695
SKU000035,  PRODUCT 35 ,Fashion,BrandB,1282.1985818802134,0.06206164715781657
SKU000036,  PRODUCT 36 ,Electronics,BrandA,3899.631736454699,0.16085675683628653
SKU000037,product 37,Grocery,BrandA,3637.3396296786764,0.05247304706721462
SKU000038,PRODUCT 38,Grocery,BrandB,2855.6846812245194,0.10128807780159652
SKU000039,PRODUCT 39,Grocery,BrandC,4138.0939689975885,0.01795157502189883
SKU000040,PRODUCT 40,Fashion,BrandB,5355.265958005077,0.165952013423895
SKU000041,product 41,Home,BrandC,2420.059043354349,0.0253386823988184
SKU000042,  product 42 ,Electronics,BrandB,157.07946416512937,0.040481425031473305
SKU000043,product 43,Grocery,BrandA,428.1820954382693,0.10046414846307869
SKU000044,product 44,Grocery,BrandA,4814.335021840408,0.13753674003833669
SKU000045,PRODUCT 45,Electronics,BrandC,1302.1104437621977,0.1114832350685338
SKU000046,PRODUCT 46,Grocery,BrandC,739.4669649779631,0.04178410430402811
SKU000047,PRODUCT 47,Home,BrandA,4141.836635473529,0.00016974765494826016
SKU000048,PRODUCT 48,Grocery,BrandA,547.5290995292443,0.13628710445533906
SKU000049,PRODUCT 49,Home,BrandB,2484.4197138101813,0.17733731866399685
SKU000050,product 50,Electronics,BrandA,2083.340276418302,0.14578436165509626
SKU000051,PRODUCT 51,Electronics,BrandA,1078.756196309268,0.08283719126819075
SKU000052,PRODUCT 52,Grocery,BrandB,976.0724482379131,0.1626781070518392
SKU000053,PRODUCT 53,Electronics,BrandB,4084.118883382827,0.073772581161303
SKU000054,product 54,Electronics,BrandA,3421.126682392192,0.09448813516382415
SKU000055,PRODUCT 55,Electronics,BrandA,4940.679730197915,0.08588335813122298
SKU000056,product 56,Grocery,BrandB,2561.3322071040916,0.08057229707979449
SKU000057,  product 57 ,Home,BrandA,888.8878486431286,0.13953433847290303
SKU000058,  PRODUCT 58 ,Home,BrandB,4895.04267330239,0.09481840330850856
SKU000059,product 59,Fashion,BrandB,3619.5159279575482,0.05700908196453889
SKU000060,product 60,Home,BrandA,1082.3429684548466,0.046468470178526095
SKU000061,  product 61 ,Electronics,BrandC,4032.5313590902433,0.006794517054138009
SKU000062,  PRODUCT 62 ,Fashion,BrandA,313.1807276715679,0.10497512913894827
SKU000063,product 63,Grocery,BrandA,4963.436457149259,0.041393054772186154
SKU000064,  PRODUCT 64 ,Grocery,BrandA,3216.2221175413993,0.026664105962948954
SKU000065,product 65,Grocery,BrandB,645.8022576354745,0.11768939348898197
SKU000066,product 66,Grocery,BrandC,3134.9621915117864,0.12261766640787879
SKU000067,product 67,Home,BrandC,3038.0314993971474,0.13538788060637988
