sku_id,product_name,category,brand,price,currency,is_active
SKU000000,Product 0,Electronics,BrandC,1411.4,USD,Y
SKU000001,  Product 1 ,Electronics,BrandC,3716.31,USD,Y
SKU000002,Product 2,Home,BrandA,197.5,USD,Y
SKU000003,  Product 3 ,Electronics,BrandC,1034.25,USD,Y
SKU000004,Product 4,Home,BrandA,2273.58,USD,N
SKU000005,  Product 5 ,Electronics,BrandA,3505.79,USD,N
SKU000006,Product 6,Grocery,BrandA,4788.2,USD,N
SKU000007,Product 7,Electronics,BrandB,528.75,USD,Y
SKU000008,Product 8,Fashion,BrandA,3662.17,USD,Y
SKU000009,Product 9,Home,BrandA,2782.6,USD,Y
SKU000010,Product 10,Fashion,BrandC,1001.83,USD,N
SKU000011,  Product 11 ,Grocery,BrandB,4926.85,USD,Y
SKU000012,Product 12,Electronics,BrandB,1425.97,USD,Y
SKU000013,Product 13,Fashion,BrandA,1882.4,USD,Y
SKU000014,  Product 14 ,Fashion,BrandC,4686.44,USD,N
SKU000015,Product 15,Grocery,BrandC,3659.18,USD,N
SKU000016,  Product 16 ,Home,BrandB,4948.14,USD,Y
SKU000017,Product 17,Grocery,BrandC,1655.2,USD,Y
SKU000018,Product 18,Electronics,BrandA,4117.92,USD,Y
SKU000019,Product 19,Home,BrandB,377.63,USD,Y
SKU000020,Product 20,Fashion,BrandA,3294.42,USD,Y
SKU000021,Product 21,Home,BrandA,1361.16,USD,N
SKU000022,  Product 22 ,Fashion,BrandC,2943.7,USD,Y
SKU000023,Product 23,Home,BrandB,1135.64,USD,Y
SKU000024,Product 24,Home,BrandA,3791.12,USD,Y
SKU000025,Product 25,Grocery,BrandC,841.91,USD,Y
SKU000026,Product 26,Electronics,BrandB,1939.02,USD,N
SKU000027,Product 27,Fashion,BrandC,4310.86,USD,Y
SKU000028,  Product 28 ,Electronics,BrandC,4429.7,USD,Y
SKU000029,Product 29,Fashion,BrandA,1502.83,USD,N
SKU000030,  Product 30 ,Electronics,BrandC,4385.47,USD,Y
SKU000031,  Product 31 ,Grocery,BrandC,4567.51,USD,N
SKU000032,Product 32,Fashion,BrandC,2562.93,USD,N
SKU000033,  Product 33 ,Fashion,BrandA,2719.93,USD,Y
SKU000034,Product 34,Electronics,BrandC,1654.57,USD,Y
SKU000035,  Product 35 ,Fashion,BrandB,1235.29,USD,Y
SKU000036,  Product 36 ,Electronics,BrandA,3672.94,USD,Y
SKU000037,Product 37,Grocery,BrandA,3315.77,USD,N
SKU000038,Product 38,Grocery,BrandB,2661.99,USD,Y
SKU000039,Product 39,Grocery,BrandC,3788.56,USD,Y
SKU000040,Product 40,Fashion,BrandB,4975.99,USD,N
SKU000041,Product 41,Home,BrandC,2284.86,USD,Y
SKU000042,  Product 42 ,Electronics,BrandB,154.12,USD,N
SKU000043,Product 43,Grocery,BrandA,401.42,USD,Y
SKU000044,Product 44,Grocery,BrandA,4531.83,USD,Y
SKU000045,Product 45,Electronics,BrandC,1228.12,USD,Y
SKU000046,Product 46,Grocery,BrandC,704.94,USD,Y
SKU000047,Product 47,Home,BrandA,3933.87,USD,Y
SKU000048,Product 48,Grocery,BrandA,529.81,USD,Y
SKU000049,Product 49,Home,BrandB,2361.77,USD,N
SKU000050,Product 50,Electronics,BrandA,2042.98,USD,Y
SKU000051,Product 51,Electronics,BrandA,998.37,USD,Y
SKU000052,Product 52,Grocery,BrandB,958.27,USD,Y
SKU000053,Product 53,Electronics,BrandB,4049.71,USD,Y
SKU000054,Product 54,Electronics,BrandA,3278.12,USD,Y
SKU000055,Product 55,Electronics,BrandA,4635.52,USD,Y
SKU000056,Product 56,Grocery,BrandB,2453.92,USD,N
SKU000057,  Product 57 ,Home,BrandA,864.95,USD,N
SKU000058,  Product 58 ,Home,BrandB,4636.26,USD,N
SKU000059,Product 59,Fashion,BrandB,3498.13,USD,Y
SKU000060,Product 60,Home,BrandA,989.99,USD,Y
SKU000061,  Product 61 ,Electronics,BrandC,3691.9,USD,Y
SKU000062,  Product 62 ,Fashion,BrandA,298.2,USD,Y
SKU000063,Product 63,Grocery,BrandA,4805.86,USD,Y
SKU000064,  Product 64 ,Grocery,BrandA,2995.42,USD,Y
SKU000065,Product 65,Grocery,BrandB,643.44,USD,Y
SKU000066,Product 66,Grocery,BrandC,2992.87,USD,N
SKU000067,Product 67,Home,BrandC,2939.18,USD,Y
SKU000068,Product 68,Fashion,BrandA,3365.14,USD,N
SKU000069,Product 69,Fashion,BrandB,697.85,USD,Y
SKU000070,Product 70,Home,BrandB,4648.64,USD,Y
SKU000071,Product 71,Electronics,BrandB,3124.74,USD,N
SKU000072,Product 72,Electronics,BrandA,2711.29,USD,N
SKU000073,Product 73,Grocery,BrandB,4410.28,USD,Y
SKU000074,Product 74,Fashion,BrandB,830.85,USD,Y
SKU000075,Product 75,Fashion,BrandC,4920.07,USD,Y
SKU000076,Product 76,Electronics,BrandC,4094.67,USD,Y
SKU000077,  Product 77 ,Electronics,BrandA,1359.11,USD,N
SKU000078,Product 78,Grocery,BrandB,1444.69,USD,Y
SKU000079,  Product 79 ,Fashion,BrandA,3453.11,USD,N
SKU000080,Product 80,Home,BrandB,4531.42,USD,Y
SKU000081,Product 81,Electronics,BrandC,2146.7,USD,Y
SKU000082,  Product 82 ,Electronics,BrandB,3867.04,USD,Y
SKU000083,Product 83,Fashion,BrandA,3719.09,USD,N
SKU000084,Product 84,Home,BrandC,97.87,USD,Y
